41_HUMAN,A33_PLEWA,ABL1_CAEEL,ABL_DROME,ABL_MOUSE,AGRI_CHICK,AMAL_DROME,APMU_PIG,ARO1_EMENI,ASO_CUCPM,BASI_RAT,BCCA_MYCLE,BCR_HUMAN,BDF1_YEAST,BEM1_YEAST,BFR2_HUMAN,BGP1_MOUSE,BUD2_YEAST,BX42_DROME,C166_BRARE,C166_MOUSE,C22B_HUMAN,CA1E_CHICK,CA26_CHICK,CA36_CHICK,CAML_MOUSE,CASP_MESAU,CCG1_DROME,CD19_HUMAN,CD33_HUMAN,CD45_MOUSE,CD80_RABIT,CD86_HUMAN,CDS1_SCHPO,CE10_MOUSE,CEAC_ECOLI,CHD1_MOUSE,CHI1_BACCI,CHID_BACCI,CHIN_HUMAN,CHIO_HUMAN,CHRD_XENLA,CLAA_LYCES,CLPP_CHLEU,CO6_HUMAN,CONT_HUMAN,CPSF_CHICK,CRK_MOUSE,CSKP_RAT,CYRB_HUMAN,DCC_HUMAN,DIN7_YEAST,DLG2_HUMAN,DRTS_PLACH,DUN1_YEAST,E13B_OERXA,EG15_CAEEL,EM55_MOUSE,ENTK_PIG,ERY2_SACER,ERY3_SACER,ESTR_SALSA,ETR1_ARATH,EXO1_SCHPO,EXO1_YEAST,FA8_HUMAN,FADD_HUMAN,FAS1_CANAL,FAS2_SCHAM,FAS3_DROME,FAS_HUMAN,FCG1_HUMAN,FCG3_RAT,FCGC_HUMAN,FE65_RAT,FEN1_MOUSE,FES_FELCA,FES_FSVST,FET3_CANAL,FGR1_CHICK,FGR2_DROME,FGR_FSVGR,FIBL_HUMAN,FINC_HUMAN,FKB4_RABIT,FLBA_EMENI,FLK_RAT,FOX2_YEAST,FPRP_RAT,FS21_DROME,G49A_MOUSE,GAGC_AVISC,GAP1_DROME,GCN2_YEAST,GCR_RAT,GELS_HORSE,GTPA_HUMAN,GUAA_ECOLI,GUNC_CELFI,GUNF_CLOTM,GUXB_CELFI,H1_YEAST,HEMO_HYACE,HGFA_HUMAN,HGF_MOUSE,HIS5_YEAST,HMCT_BOMMO,HOXA_ALCEU,HP1G_MOUSE,HSF_KLULA,ICA1_PANTR,ICA2_HUMAN,ICCR_DROME,ICE8_HUMAN,IDD_HUMAN,IL1R_MOUSE,IL1S_RAT,IML2_DROME,IRPA_SYNP7,IRS1_RAT,ITB4_HUMAN,JAK3_RAT,JAK_DROME,KAKT_MLVAT,KAPP_ARATH,KDG1_ARATH,KDGA_HUMAN,KDGD_HUMAN,KDGE_DROME,KDGH_HUMAN,KDGZ_HUMAN,KINH_HUMAN,KMHC_DICDI,KPCA_BOVIN,KPCM_HUMAN,KPCZ_RAT,KPEL_DROME,KS6B_XENLA,KSYK_HUMAN,LAC1_CORHI,LAC1_EMENI,LAG3_HUMAN,LAM1_CHICK,LAR_DROME,LIK1_HUMAN,LMA2_MOUSE,LU_HUMAN,LW_HUMAN,MAGS_RAT,MANR_HUMAN,MEK1_RAT,MEK1_YEAST,MPSF_CHICK,MUB1_XENLA,MUC2_HUMAN,MUCL_RAT,MUCS_BOVIN,MYS4_YEAST,MYSB_DICDI,N358_HUMAN,NCA1_XENLA,NCA2_RAT,NCF1_HUMAN,NCK_HUMAN,NEL_HUMAN,NIA_ASPNG,NIR_RHIHE,NKR3_HUMAN,NKR5_HUMAN,NOV_COTJA,NRKA_TRYBB,NRP_CHICK,NTP3_TOBAC,ODP2_DICDI,OPCM_RAT,P85A_BOVIN,PA2R_RABIT,PABS_YEAST,PBPB_ECOLI,PEC1_PIG,PGBM_HUMAN,PGCB_RAT,PGCV_HUMAN,PIGR_RAT,PINC_HUMAN,PIP1_RAT,PIP1_SCHPO,PIP4_HUMAN,PIP6_BOVIN,PKSL_BACSU,PLEC_RAT,PLK_BOVIN,PLMN_CANFA,PLMN_MACMU,PSG6_HUMAN,PSPA_CAVPO,PSPD_BOVIN,PTF1_XANCP,PTFB_XANCP,PTNB_MOUSE,PTP6_DROME,PTPG_HUMAN,PTPK_MOUSE,PVR_CERAE,PVR_MOUSE,PYC_MOUSE,RAGE_MOUSE,RDGC_DROME,RED1_HUMAN,RGC1_HUMAN,RP3A_BOVIN,RRPO_RCNMV,RS1H_BACSU,RS1_ECOLI,RS1_PROSP,SH17_HUMAN,SNK_MOUSE,SOG_DROME,SP97_HUMAN,SPK1_YEAST,SRC2_DROME,SRC2_XENLA,SRK2_SPOLA,ST2_HUMAN,SY63_DISOM,SYT1_HUMAN,SYT4_MOUSE,TACT_HUMAN,TEC_HUMAN,TF3B_KLULA,TFPI_HUMAN,THAB_XENLA,THI6_YEAST,THIB_XENLA,THRB_MOUSE,TIE2_HUMAN,TPR_HUMAN,TRPG_ASPNG,TSP1_MOUSE,TSP2_BOVIN,TYO3_HUMAN,UN13_CAEEL,UN52_CAEEL,UNR_RAT,URTB_DESRO,VAV_MOUSE,VB16_VACCC,VB19_VACCV,VCA1_RAT,VGR2_HUMAN,VILI_DICDI,VNFA_AZOVI,VWF_CANFA,XFIN_XENLA,XYNA_CLOSR,XYNA_THENE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
